"г.Амвросиевка";"101000000001";1734754;01.01.2020;35915;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;01.12.2020;39078;"по телефону"
"г.Амвросиевка";"101000000001";1734754;01.02.2020;36415;"по телефону"
"г.Амвросиевка";"101000000001";1734754;01.03.2020;36940;"по телефону"
"г.Амвросиевка";"101000000001";1734754;13.03.2020;36940;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;22.04.2020;37325;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;01.05.2020;37782;"по телефону"
"г.Амвросиевка";"101000000001";1734754;01.10.2020;37895;"по телефону"
"г.Амвросиевка";"101000000001";1734754;01.07.2020;37828;"по квитанции"

"г.Амвросиевка";"101000000001";1734754;01.10.2021;42140;"по телефону"
"г.Амвросиевка";"101000000001";1734754;01.01.2021;39620;"по телефону"
"г.Амвросиевка";"101000000001";1734754;13.01.2021;39620;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;01.11.2021;42660;"по телефону"
"г.Амвросиевка";"101000000001";1734754;01.09.2021;42118;"явка в УГГ"
"г.Амвросиевка";"101000000001";1734754;12.11.2021;42660;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;22.12.2021;42887;"снятие на госповерку"
"г.Амвросиевка";"101000000001";1734754;01.02.2021;40300;"по телефону"
"г.Амвросиевка";"101000000001";1734754;23.12.2021;6377;"установка ОФ"
"г.Амвросиевка";"101000000001";1734754;13.02.2021;40300;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;01.03.2021;40938;"контрольное снятие"
"г.Амвросиевка";"101000000001";1734754;24.07.2021;42095;"контрольное снятие"
"г.Амвросиевка";"101000000001";1734754;15.07.2021;42095;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;01.07.2021;42095;"по телефону"

"г.Амвросиевка";"101000000001";1734754;01.01.2022;6560;"контрольное снятие"
"г.Амвросиевка";"101000000001";1734754;24.01.2022;7134;"снятие"
"г.Амвросиевка";"101000000001";1734754;25.01.2022;42887;"уст-ка после снятия"
"г.Амвросиевка";"101000000001";1734754;01.03.2022;43746;"по телефону"
"г.Амвросиевка";"101000000001";1734754;19.03.2022;44142;"по телефону"
"г.Амвросиевка";"101000000001";1734754;23.04.2022;44396;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;18.05.2022;45080;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;01.12.2022;45222;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;17.06.2022;45101;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;01.07.2022;45122;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;01.08.2022;45171;"плановый объем"
"г.Амвросиевка";"101000000001";1734754;01.09.2022;45172;"по квитанции"

"г.Амвросиевка";"101000000001";1734754;01.06.2023;46382;"плановый объем"
"г.Амвросиевка";"101000000001";1734754;01.07.2023;46398;"плановый объем"
"г.Амвросиевка";"101000000001";1734754;15.05.2023;46372;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;01.08.2023;46414;"плановый объем"
"г.Амвросиевка";"101000000001";1734754;01.09.2023;46431;"плановый объем"
"г.Амвросиевка";"101000000001";1734754;21.03.2023;46322;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;01.10.2023;46458;"плановый объем"
"г.Амвросиевка";"101000000001";1734754;01.02.2023;46022;"по телефону"
"г.Амвросиевка";"101000000001";1734754;01.11.2023;46562;"плановый объем"
"г.Амвросиевка";"101000000001";1734754;17.01.2023;45722;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;01.01.2023;45669;"контрольное снятие"
"г.Амвросиевка";"101000000001";1734754;01.12.2023;46572;"по квитанции"

"г.Амвросиевка";"101000000001";1734754;01.02.2025;48794;"плановый объем"
"г.Амвросиевка";"101000000001";1734754;25.06.2025;49481;"контрольное снятие"
"г.Амвросиевка";"101000000001";1734754;14.02.2025;48791;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;01.03.2025;48922;"плановый объем"
"г.Амвросиевка";"101000000001";1734754;25.10.2025;49483;"по телефону"

"г.Амвросиевка";"101000000001";1734754;01.10.2024;48091;"плановый объем"
"г.Амвросиевка";"101000000001";1734754;01.09.2024;48056;"плановый объем"
"г.Амвросиевка";"101000000001";1734754;01.08.2024;48034;"плановый объем"
"г.Амвросиевка";"101000000001";1734754;01.12.2024;48447;"плановый объем"
"г.Амвросиевка";"101000000001";1734754;11.07.2024;48020;"по квитанции"
"г.Амвросиевка";"101000000001";1734754;01.07.2024;48014;"плановый объем"
"г.Амвросиевка";"101000000001";1734754;17.06.2024;48005;"по квитанции"
